Income,CreditScore,LoanAmount,Approved
72587,642,33024,0
61085,703,12352,0
83819,668,41842,1
142095,748,38697,1
110657,678,57722,0
156282,669,56291,0
52723,700,28244,0
76700,559,14564,0
42588,699,17807,0
57260,686,12891,0
87075,708,15150,1
74723,757,40589,0
53508,694,28971,0
79276,824,47833,0
51083,596,18817,0
58845,628,34193,0
28949,671,3454,0
88001,574,18516,0
38239,472,18038,0
65036,703,36623,0
42243,617,19476,0
102759,623,8706,1
55515,781,7718,1
82256,524,24769,0
60286,532,10498,0
58870,620,8490,1
47979,657,5859,0
35282,702,7050,1
142334,521,64793,0
37618,672,11409,0
111698,684,32910,1
94254,647,17097,0
59788,650,18489,0
67715,820,43954,0
89772,598,25058,1
28077,655,8877,0
75738,685,44394,0
73968,702,8741,0
65978,755,8846,1
81473,809,18224,1
96941,564,27340,0
85094,592,15513,0
46549,620,11212,0
35347,594,20135,0
42764,633,22434,0
57674,824,32207,0
92185,558,13380,1
32963,498,6692,0
80265,611,26041,0
59909,606,5111,0
75024,645,22549,1
129103,555,61718,0
47610,593,22412,0
95991,800,22122,1
53724,748,29659,0
90159,793,47221,1
20209,588,9476,0
24459,666,14156,0
77970,742,45994,1
105690,639,14750,1
84054,579,22546,0
33926,594,2843,0
72254,644,19400,1
78546,538,17898,0
82835,622,23517,0
39564,722,23099,0
145935,620,12330,1
57141,740,25034,0
61412,491,27096,0
33545,677,13801,0
174541,625,32020,1
44661,603,22326,0
54379,690,18653,0
150944,759,22427,1
65956,651,20852,0
250000,796,145404,1
91488,696,50580,0
63307,567,12668,0
99789,608,12152,1
50166,607,17509,0
33000,643,9574,0
59884,624,17549,0
80444,729,23378,1
40861,550,19838,0
50744,552,9416,0
61767,621,15497,0
59497,612,23236,1
53870,658,5385,0
38549,720,7730,1
89945,673,42392,0
52777,743,32854,0
110412,661,46056,0
27151,602,11566,0
33832,629,15466,0
41449,723,19300,1
96462,630,13077,0
127886,806,67123,1
59534,799,22090,1
119755,629,53902,0
25764,573,8781,0
54027,633,26990,0
95968,796,33382,1
59040,678,11570,0
23208,612,9966,0
62673,611,20404,0
43415,549,17738,0
73253,573,32290,0
80574,635,16975,1
49642,526,8240,0
62184,622,35358,0
53955,669,9619,1
67404,701,40072,0
77387,709,42116,0
62313,586,10717,1
124753,683,15667,1
69691,582,39254,0
109174,664,38450,0
47378,598,26860,0
82577,639,15635,1
75287,468,11649,0
71993,664,31958,0
117567,767,52702,0
57254,552,27102,0
44786,519,19142,0
53948,606,29480,0
64662,542,6410,0
54131,811,30083,0
77980,754,8784,0
60888,691,23758,0
64545,626,16623,0
163627,595,36586,0
111323,751,37183,1
55812,760,21367,0
44545,642,20713,0
83629,486,23154,0
72593,598,11655,0
67957,816,23774,1
108370,642,48224,0
22558,706,8478,0
126047,643,66422,0
28555,499,8886,0
51182,739,20570,0
64392,583,22512,0
61779,633,11065,0
69875,654,32309,0
96156,628,39900,0
135624,736,54648,0
108909,670,38680,0
86959,626,27647,0
43329,614,17532,0
56760,625,29394,1
91008,526,11420,0
109006,594,11488,0
50361,498,7295,0
83071,665,43990,0
38982,677,8471,1
40505,594,15975,0
44568,732,15397,1
74067,713,44478,0
43524,647,18751,0
63309,620,24369,0
85849,781,39556,0
139007,538,53426,0
58307,533,24692,0
34744,668,12563,0
85601,686,44110,0
105440,693,27745,1
39621,533,3423,0
58423,603,28424,0
43806,562,4087,0
113725,655,57167,0
50215,677,7974,0
48266,778,8009,1
108503,740,64321,0
81093,621,26503,0
54316,667,31002,0
250000,602,44087,1
106391,709,46245,0
70177,663,10559,0
48718,595,24710,0
47423,650,19876,1
48193,696,8598,1
96364,648,46015,0
35379,565,18897,0
67017,676,22274,0
86162,644,46746,1
28451,705,11899,0
67868,674,26919,1
187272,575,80389,0
61924,546,14915,0
60504,551,15635,0
111823,699,43901,0
55956,583,24937,0
73255,738,29074,1
75972,763,21980,0
87455,741,47188,0
122796,639,67615,0
52213,636,22788,0
125559,616,49832,1
82803,674,24984,0
45334,666,5888,1
32536,554,13059,0
82884,594,37377,0
60274,671,26112,0
74407,570,6357,0
50199,712,11171,1
43399,625,21633,0
74551,565,31399,0
32901,546,16965,0
92373,554,33339,0
57842,614,9656,0
35387,707,19849,0
171385,672,27719,1
90383,599,36489,0
98569,654,30841,0
74508,523,27605,0
72971,724,18167,1
32425,684,8016,0
132532,566,46001,0
113270,646,55835,0
49981,666,6963,0
42577,672,14674,0
45972,565,7240,0
48955,684,12806,0
122420,681,53340,0
107480,663,58788,0
47755,694,28113,0
52901,704,30505,0
41158,693,21263,0
87937,547,33978,0
54984,672,31394,0
50887,697,6524,0
37953,654,10491,1
86513,610,25886,0
77707,592,34757,0
67519,671,33737,0
97869,850,34879,1
53592,579,29414,0
85141,650,44829,0
94971,757,47527,1
26406,664,6978,1
32520,731,6976,0
58852,780,26213,0
43907,590,21349,0
25215,643,3158,1
115296,652,52231,0
42638,643,12632,0
62624,672,34396,0
51510,556,10073,0
74676,695,44255,1
67709,745,20218,0
91317,643,41409,0
143434,639,51457,0
